image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
BRATS_001,29,FLAIR,0.0132,0.0,0.0,0.0,452,536,3,57600,[1],0.685
BRATS_001,30,FLAIR,0.0152,0.0,0.0,0.0,652,491,5,57600,[1],0.3068
BRATS_001,31,FLAIR,0.0516,0.0,0.0,0.0,679,761,18,57600,"[1, 3]",0.3037
BRATS_001,32,FLAIR,0.3014,0.0,0.0,0.0,806,1099,143,57600,"[1, 2, 3]",0.2983
BRATS_001,33,FLAIR,0.3748,0.0,0.0,0.0,1058,1126,244,57600,"[1, 2, 3]",0.3097
BRATS_001,34,FLAIR,0.3805,0.0,0.0053,0.0438,1277,1218,300,57600,"[1, 2, 3]",0.2985
BRATS_001,35,FLAIR,0.4701,0.0,0.0044,0.126,1344,1837,413,57600,"[1, 2, 3]",0.3179
BRATS_001,36,FLAIR,0.5431,0.0089,0.028,0.1129,1427,2040,532,57600,"[1, 2, 3]",0.3043
BRATS_001,37,FLAIR,0.5627,0.0175,0.0403,0.1297,1479,2100,579,57600,"[1, 2, 3]",0.3055
BRATS_001,38,FLAIR,0.6235,0.0343,0.0963,0.1242,1541,2292,698,57600,"[1, 2, 3]",0.3232
BRATS_001,39,FLAIR,0.6435,0.0398,0.2316,0.2201,1564,2608,742,57600,"[1, 2, 3]",0.3283
BRATS_001,40,FLAIR,0.6631,0.0567,0.3494,0.184,1641,2958,814,57600,"[1, 2, 3]",0.3204
BRATS_001,41,FLAIR,0.6709,0.0896,0.2569,0.15,1775,2958,896,57600,"[1, 2, 3]",0.341
BRATS_001,42,FLAIR,0.6709,0.0846,0.2773,0.1906,1880,2571,949,57600,"[1, 2, 3]",0.3421
BRATS_001,43,FLAIR,0.6941,0.1613,0.3174,0.2114,1934,2873,1028,57600,"[1, 2, 3]",0.3405
BRATS_001,44,FLAIR,0.676,0.223,0.3757,0.2617,2127,2827,1086,57600,"[1, 2, 3]",0.3437
BRATS_001,45,FLAIR,0.6172,0.1057,0.3302,0.2518,2581,3197,1152,57600,"[1, 2, 3]",0.3455
BRATS_001,46,FLAIR,0.6167,0.0269,0.3065,0.2772,3268,3541,1457,57600,"[1, 2, 3]",0.3373
BRATS_001,47,FLAIR,0.6038,0.0857,0.3282,0.2287,3614,3641,1563,57600,"[1, 2, 3]",0.3069
BRATS_001,48,FLAIR,0.6462,0.0806,0.2362,0.2062,3442,3234,1643,57600,"[1, 2, 3]",0.2983
BRATS_001,49,FLAIR,0.6402,0.056,0.0269,0.1719,3787,2673,1783,57600,"[1, 2, 3]",0.3118
BRATS_001,50,FLAIR,0.6451,0.0573,0.0246,0.1764,3854,2718,1835,57600,"[1, 2, 3]",0.3127
BRATS_001,51,FLAIR,0.6757,0.1345,0.1175,0.1814,3764,2996,1922,57600,"[1, 2, 3]",0.3077
BRATS_001,52,FLAIR,0.6658,0.1317,0.2188,0.1582,3940,3382,1966,57600,"[1, 2, 3]",0.3045
BRATS_001,53,FLAIR,0.6328,0.1173,0.2296,0.1433,4232,3266,1960,57600,"[1, 2, 3]",0.3011
BRATS_001,54,FLAIR,0.6489,0.1607,0.0253,0.1507,4067,2759,1986,57600,"[1, 2, 3]",0.3089
BRATS_001,55,FLAIR,0.5575,0.0904,0.0659,0.1365,5180,2795,2034,57600,"[1, 2, 3]",0.3093
BRATS_001,56,FLAIR,0.5239,0.1252,0.0519,0.1538,5918,2773,2122,57600,"[1, 2, 3]",0.3102
BRATS_001,57,FLAIR,0.6107,0.1603,0.0912,0.1439,4885,2707,2182,57600,"[1, 2, 3]",0.3035
