image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
la_003,45,MRI,0.3103,0.4194,0.0,0.0,49,2,9,102400,[1],0.6084
la_003,46,MRI,0.4224,0.1296,0.4,0.4634,127,36,34,102400,[1],0.3079
la_003,47,MRI,0.5893,0.3662,0.5905,0.6087,158,39,66,102400,[1],0.3072
la_003,48,MRI,0.4354,0.1111,0.0,0.0412,293,195,102,102400,[1],0.3327
la_003,49,MRI,0.2886,0.2114,0.0096,0.0938,500,229,186,102400,[1],0.3254
la_003,50,MRI,0.3344,0.1724,0.0,0.0131,335,261,275,102400,[1],0.3213
la_003,51,MRI,0.3399,0.2011,0.0,0.0542,285,294,374,102400,[1],0.3067
la_003,52,MRI,0.2759,0.1512,0.0091,0.0876,368,403,480,102400,[1],0.3298
la_003,53,MRI,0.2497,0.1232,0.0264,0.1343,361,391,592,102400,[1],0.3602
la_003,54,MRI,0.2338,0.0601,0.0379,0.126,392,441,720,102400,[1],0.3452
la_003,55,MRI,0.2055,0.2743,0.138,0.2645,533,523,810,102400,[1],0.3509
la_003,56,MRI,0.1493,0.2006,0.5849,0.3529,858,617,884,102400,[1],0.3759
la_003,57,MRI,0.5381,0.3745,0.5255,0.2122,803,552,955,102400,[1],0.3676
la_003,58,MRI,0.7381,0.3773,0.5502,0.273,1193,614,1018,102400,[1],0.3191
la_003,59,MRI,0.7032,0.3012,0.6061,0.2956,1392,883,1054,102400,[1],0.329
la_003,60,MRI,0.7213,0.3333,0.6445,0.2776,1403,868,1087,102400,[1],0.3404
la_003,61,MRI,0.7428,0.4096,0.7666,0.5851,1375,1029,1113,102400,[1],0.3225
la_003,62,MRI,0.7665,0.4185,0.7448,0.4906,1338,1021,1146,102400,[1],0.3071
la_003,63,MRI,0.785,0.454,0.7703,0.534,1303,1067,1171,102400,[1],0.3109
la_003,64,MRI,0.8174,0.6074,0.8439,0.6061,1465,1031,1185,102400,[1],0.3141
la_003,65,MRI,0.8624,0.5138,0.8455,0.6053,1586,1081,1211,102400,[1],0.3121
la_003,66,MRI,0.8856,0.6032,0.8747,0.7401,1518,1145,1217,102400,[1],0.3571
la_003,67,MRI,0.8949,0.6544,0.8948,0.7509,1503,1157,1219,102400,[1],0.3325
la_003,68,MRI,0.9006,0.6392,0.9097,0.6904,1458,1229,1207,102400,[1],0.34
la_003,69,MRI,0.9021,0.7034,0.9268,0.8333,1414,1211,1180,102400,[1],0.3067
la_003,70,MRI,0.887,0.6159,0.9238,0.6803,1445,1259,1157,102400,[1],0.3463
la_003,71,MRI,0.8842,0.5809,0.9036,0.7121,1416,1213,1131,102400,[1],0.3168
la_003,72,MRI,0.9158,0.6787,0.9292,0.7846,1298,1145,1100,102400,[1],0.3225
la_003,73,MRI,0.9399,0.828,0.9429,0.8083,1208,1082,1073,102400,[1],0.3185
la_003,74,MRI,0.9366,0.7623,0.9356,0.8103,1183,1023,1042,102400,[1],0.3302
la_003,75,MRI,0.9505,0.8824,0.9459,0.9083,1134,988,1027,102400,[1],0.3217
la_003,76,MRI,0.9502,0.9025,0.9347,0.7832,1117,964,1011,102400,[1],0.3127
la_003,77,MRI,0.949,0.8707,0.9602,0.9107,1092,999,986,102400,[1],0.3131
la_003,78,MRI,0.9563,0.9427,0.9686,0.9817,1061,934,974,102400,[1],0.3036
la_003,79,MRI,0.9457,0.837,0.954,0.8732,1057,876,952,102400,[1],0.3061
la_003,80,MRI,0.939,0.8527,0.9583,0.9808,1048,864,935,102400,[1],0.3109
la_003,81,MRI,0.9476,0.8778,0.9555,0.9158,987,854,921,102400,[1],0.3118
la_003,82,MRI,0.9633,0.9567,0.938,0.8079,941,856,886,102400,[1],0.3165
la_003,83,MRI,0.9744,0.99,0.9373,0.8543,895,781,862,102400,[1],0.3114
la_003,84,MRI,0.9696,0.9901,0.9231,0.7396,879,718,829,102400,[1],0.3132
la_003,85,MRI,0.966,0.9439,0.9439,0.9,847,733,801,102400,[1],0.3167
la_003,86,MRI,0.9567,0.9072,0.942,0.8836,829,718,764,102400,[1],0.3187
la_003,87,MRI,0.958,0.973,0.9062,0.7095,789,629,735,102400,[1],0.3175
la_003,88,MRI,0.938,0.8232,0.8828,0.5636,790,571,709,102400,[1],0.3166
la_003,89,MRI,0.9287,0.8136,0.9015,0.6548,777,588,681,102400,[1],0.3254
la_003,90,MRI,0.9427,0.9302,0.9385,0.9053,725,631,654,102400,[1],0.316
la_003,91,MRI,0.941,0.9405,0.9479,0.8916,698,661,624,102400,[1],0.3505
la_003,92,MRI,0.9411,0.9212,0.9316,0.8589,662,649,594,102400,[1],0.3671
la_003,93,MRI,0.9279,0.882,0.8641,0.5667,647,463,560,102400,[1],0.3498
la_003,94,MRI,0.9014,0.7349,0.8496,0.4267,652,449,535,102400,[1],0.3148
la_003,95,MRI,0.8873,0.7333,0.7996,0.54,637,470,508,102400,[1],0.3252
la_003,96,MRI,0.8621,0.631,0.7383,0.5714,627,465,475,102400,[1],0.3298
la_003,97,MRI,0.8274,0.4943,0.6834,0.5578,625,358,441,102400,[1],0.3192
la_003,98,MRI,0.764,0.3757,0.4829,0.351,652,330,403,102400,[1],0.3162
la_003,99,MRI,0.6903,0.1789,0.5221,0.274,664,305,350,102400,[1],0.3117
la_003,100,MRI,0.6289,0.123,0.1385,0.2338,665,316,305,102400,[1],0.3285
la_003,101,MRI,0.6099,0.1862,0.0223,0.1701,629,263,276,102400,[1],0.3188
la_003,102,MRI,0.5374,0.1263,0.0493,0.1714,664,243,244,102400,[1],0.3088
la_003,103,MRI,0.5152,0.1489,0.0087,0.1729,637,237,221,102400,[1],0.312
