image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
liver_0,46,CT,0.1575,0.0,0.2551,0.197,538,150,46,262144,[2],0.6338
liver_0,56,CT,0.3745,0.0,0.5231,0.2155,751,477,173,262144,[2],0.3435
liver_0,57,CT,0.0304,0.0,0.0708,0.0615,3513,4828,368,262144,[2],0.3491
liver_0,58,CT,0.0,0.0,0.0668,0.0392,5018,8440,538,262144,[2],0.3463
liver_0,59,CT,0.2722,0.0,0.3729,0.0433,2393,1645,377,262144,[2],0.3462
liver_0,60,CT,0.0585,0.0538,0.0568,0.112,5210,5062,189,262144,[2],0.3445
liver_0,61,CT,0.2731,0.0,0.7355,0.5362,588,149,93,262144,[2],0.3494
liver_0,62,CT,0.0507,0.0,0.0934,0.0,461,245,12,262144,[2],0.3419
liver_0,65,CT,0.0389,0.0,0.092,0.1299,454,165,9,262144,[2],0.3548
liver_0,66,CT,0.0029,0.0267,0.0003,0.0226,10774,12830,150,262144,[2],0.3437
liver_0,67,CT,0.1836,0.0,0.2626,0.0,722,483,73,262144,[2],0.3414
liver_0,68,CT,0.1053,0.0,0.2069,0.2308,594,286,33,262144,[2],0.3413
liver_0,69,CT,0.035,0.0462,0.0104,0.0546,3125,5996,136,262144,[2],0.3383
liver_0,70,CT,0.1749,0.2069,0.2793,0.3871,333,146,33,262144,[2],0.3519
liver_0,71,CT,0.295,0.0,0.6573,0.3061,1000,323,173,262144,[2],0.3449
liver_0,72,CT,0.34,0.0326,0.4676,0.1913,918,398,188,262144,[2],0.3484
liver_1,56,CT,0.1648,0.0,0.2657,0.156,735,363,66,262144,[2],0.3488
liver_1,57,CT,0.0,0.0,0.0501,0.0546,4786,8368,846,262144,[2],0.3858
liver_1,58,CT,0.0,0.0,0.1741,0.1303,3797,8364,986,262144,[2],0.3848
liver_1,59,CT,0.3892,0.009,0.5008,0.2445,2736,1807,661,262144,[2],0.367
liver_1,60,CT,0.1061,0.0,0.1272,0.1247,6643,5509,481,262144,[2],0.3457
liver_1,61,CT,0.0284,0.0615,0.0672,0.129,7259,6786,356,262144,[2],0.3528
liver_1,62,CT,0.4825,0.07,0.7681,0.3386,956,485,304,262144,[2],0.3392
liver_1,63,CT,0.1812,0.0,0.4116,0.3958,853,294,85,262144,[2],0.339
liver_1,64,CT,0.1145,0.0,0.5135,0.5357,774,101,47,262144,[2],0.3408
liver_1,65,CT,0.0148,0.0409,0.0292,0.042,16930,14971,227,262144,[2],0.3483
liver_1,66,CT,0.05,0.029,0.0481,0.0302,15283,15808,445,262144,[2],0.3561
liver_1,67,CT,0.084,0.0873,0.1125,0.1457,5305,4387,288,262144,[2],0.345
liver_1,68,CT,0.0,0.0037,0.0685,0.089,2899,6163,404,262144,[2],0.3476
liver_1,69,CT,0.5016,0.3125,0.7452,0.3509,691,394,234,262144,[2],0.3474
liver_1,70,CT,0.0461,0.066,0.0748,0.048,2962,13251,595,262144,[2],0.3426
liver_1,71,CT,0.0109,0.0332,0.0282,0.044,1613,7636,580,262144,[2],0.342
liver_1,72,CT,0.4095,0.0081,0.7537,0.4375,1468,572,378,262144,[2],0.3458
