image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
hippocampus_001,5,MRI,0.2027,0.2,0.2655,0.0408,133,98,15,1785,[1],0.5789
hippocampus_001,6,MRI,0.2988,0.0,0.4677,0.5254,205,88,36,1785,[1],0.2961
hippocampus_001,7,MRI,0.4497,0.2273,0.0,0.2069,231,45,67,1785,[1],0.294
hippocampus_001,8,MRI,0.5261,0.0708,0.3226,0.3301,339,127,121,1785,[1],0.3023
hippocampus_001,9,MRI,0.5683,0.208,0.4784,0.2791,389,187,160,1785,"[1, 2]",0.2958
hippocampus_001,10,MRI,0.5599,0.2143,0.533,0.3778,477,188,191,1785,"[1, 2]",0.3005
hippocampus_001,11,MRI,0.6176,0.259,0.5767,0.3919,467,224,213,1785,"[1, 2]",0.2944
hippocampus_001,12,MRI,0.5188,0.1227,0.6232,0.4337,651,324,228,1785,"[1, 2]",0.2925
hippocampus_001,13,MRI,0.5749,0.2469,0.6125,0.4953,590,304,238,1785,"[1, 2]",0.3016
hippocampus_001,14,MRI,0.5687,0.1548,0.6365,0.5769,589,297,234,1785,"[1, 2]",0.2955
hippocampus_001,15,MRI,0.5631,0.1852,0.3342,0.5815,541,183,212,1785,"[1, 2]",0.2987
hippocampus_001,16,MRI,0.5653,0.2115,0.5383,0.6905,470,217,188,1785,"[1, 2]",0.2948
hippocampus_001,17,MRI,0.5434,0.1261,0.5408,0.5426,386,211,144,1785,[2],0.2979
hippocampus_001,18,MRI,0.5152,0.1545,0.5529,0.5214,391,156,137,1785,[2],0.3032
hippocampus_001,19,MRI,0.5167,0.2348,0.6501,0.5327,355,238,125,1785,[2],0.2952
hippocampus_001,20,MRI,0.5365,0.25,0.6568,0.5248,305,218,120,1785,[2],0.3039
hippocampus_001,21,MRI,0.5486,0.1684,0.6452,0.48,291,231,110,1785,[2],0.2936
hippocampus_001,22,MRI,0.4709,0.125,0.6198,0.5,328,212,101,1785,[2],0.2964
hippocampus_001,23,MRI,0.5753,0.4404,0.5847,0.3977,210,212,89,1785,[2],0.2984
hippocampus_001,24,MRI,0.583,0.427,0.5204,0.3444,174,196,73,1785,[2],0.2967
hippocampus_001,25,MRI,0.5225,0.35,0.5135,0.4125,164,164,58,1785,[2],0.3024
hippocampus_001,26,MRI,0.3791,0.3086,0.4379,0.5479,171,129,40,1785,[2],0.2964
hippocampus_001,27,MRI,0.2963,0.3288,0.1364,0.6308,136,62,26,1785,[2],0.295
hippocampus_001,28,MRI,0.2105,0.3377,0.0286,0.4182,134,52,18,1785,[2],0.3025
hippocampus_001,29,MRI,0.0,0.0,0.092,0.0,57,83,4,1785,[2],0.2952
hippocampus_003,4,MRI,0.137,0.0,0.1887,0.0889,136,96,10,1768,[1],0.3003
