image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
prostate_00,0,T2,0.7,0.1471,0.7311,0.1168,309,329,571,102400,"[1, 2]",0.618
prostate_00,1,T2,0.8255,0.2754,0.6994,0.2435,2213,1044,1707,102400,"[1, 2]",0.3137
prostate_00,2,T2,0.8976,0.4741,0.6621,0.1928,2519,1277,2073,102400,"[1, 2]",0.3069
prostate_00,3,T2,0.8792,0.1685,0.7282,0.1735,2844,1524,2420,102400,"[1, 2]",0.3175
prostate_00,4,T2,0.9503,0.6614,0.8269,0.3009,2914,2001,2817,102400,"[1, 2]",0.31
prostate_00,5,T2,0.9507,0.6949,0.8728,0.2423,3197,2377,3070,102400,"[1, 2]",0.3108
prostate_00,6,T2,0.9425,0.4827,0.8993,0.2653,3374,2701,3306,102400,"[1, 2]",0.3194
prostate_00,7,T2,0.9359,0.3092,0.866,0.0495,3462,2526,3308,102400,"[1, 2]",0.3103
prostate_00,8,T2,0.9377,0.4937,0.9114,0.4621,3379,2800,3318,102400,"[1, 2]",0.3175
prostate_00,9,T2,0.956,0.6625,0.9254,0.4867,3301,2752,3159,102400,"[1, 2]",0.3173
prostate_00,10,T2,0.9247,0.3469,0.8838,0.4183,3091,2459,3008,102400,"[1, 2]",0.3047
prostate_00,11,T2,0.9008,0.3984,0.8535,0.1703,2717,1803,2321,102400,[2],0.3165
prostate_00,12,T2,0.8495,0.3045,0.8489,0.4553,1573,1139,1177,102400,[2],0.3058
prostate_00,13,T2,0.7478,0.1704,0.8108,0.3543,987,524,591,102400,[2],0.3229
prostate_01,2,T2,0.8347,0.569,0.8056,0.6413,344,172,255,102400,[2],0.3152
prostate_01,3,T2,0.8361,0.5026,0.7626,0.1728,681,462,747,102400,[2],0.319
prostate_01,4,T2,0.8946,0.4542,0.6521,0.2212,1437,618,1210,102400,"[1, 2]",0.3085
prostate_01,5,T2,0.8979,0.3333,0.5979,0.2906,2000,1145,1949,102400,"[1, 2]",0.3194
prostate_01,6,T2,0.9375,0.6176,0.6989,0.1842,2873,1551,2859,102400,"[1, 2]",0.3133
prostate_01,7,T2,0.9361,0.4658,0.7849,0.2176,4366,2864,4041,102400,"[1, 2]",0.3123
prostate_01,8,T2,0.9589,0.6814,0.7185,0.1223,4967,2931,4629,102400,"[1, 2]",0.3189
prostate_01,9,T2,0.951,0.587,0.6879,0.1266,5470,2899,5155,102400,"[1, 2]",0.3085
prostate_01,10,T2,0.9414,0.3694,0.7983,0.1436,5970,3775,5309,102400,"[1, 2]",0.3207
prostate_01,11,T2,0.9331,0.3719,0.8505,0.262,6144,4262,5452,102400,"[1, 2]",0.3097
prostate_01,12,T2,0.9103,0.3531,0.8591,0.2266,5125,4249,5524,102400,"[1, 2]",0.311
prostate_01,13,T2,0.897,0.3505,0.892,0.3304,5635,4524,5507,102400,"[1, 2]",0.3164
prostate_01,14,T2,0.859,0.1543,0.8778,0.2723,4241,3278,3473,102400,[2],0.3125
prostate_01,15,T2,0.7881,0.2398,0.5885,0.1369,2815,1854,2768,102400,[2],0.3177
prostate_01,16,T2,0.8072,0.249,0.6836,0.2974,1409,831,1220,102400,[2],0.3108
prostate_01,17,T2,0.7703,0.1768,0.7182,0.25,886,311,555,102400,[2],0.3194
prostate_02,3,T2,0.8223,0.5099,0.8034,0.1493,481,376,560,102400,[2],0.3118
prostate_02,4,T2,0.7638,0.3693,0.8252,0.2164,975,622,871,102400,[2],0.3208
prostate_02,5,T2,0.8858,0.5471,0.8451,0.361,1443,1154,1402,102400,"[1, 2]",0.3103
prostate_02,6,T2,0.9168,0.3323,0.7999,0.4543,2024,1511,2267,102400,"[1, 2]",0.309
prostate_02,7,T2,0.9289,0.5102,0.7726,0.191,2930,1924,3002,102400,"[1, 2]",0.3118
prostate_02,8,T2,0.9685,0.8133,0.7952,0.0451,3509,2359,3574,102400,"[1, 2]",0.3144
prostate_02,9,T2,0.9673,0.697,0.8041,0.0721,4122,2720,4045,102400,"[1, 2]",0.321
prostate_02,10,T2,0.9315,0.3412,0.7969,0.1012,4800,2980,4411,102400,"[1, 2]",0.3109
prostate_02,11,T2,0.938,0.4356,0.8505,0.2957,5309,3510,4695,102400,"[1, 2]",0.3159
prostate_02,12,T2,0.8732,0.5374,0.8345,0.3156,3916,3464,4721,102400,"[1, 2]",0.3187
prostate_02,13,T2,0.882,0.348,0.8601,0.3168,4299,3681,4769,102400,"[1, 2]",0.3128
prostate_02,14,T2,0.8485,0.2488,0.918,0.261,3534,3453,3787,102400,"[1, 2]",0.319
prostate_02,15,T2,0.931,0.3828,0.9237,0.3426,4017,3120,3618,102400,"[1, 2]",0.3116
prostate_02,16,T2,0.8537,0.3471,0.9046,0.3156,3153,2053,2369,102400,[2],0.3191
prostate_02,17,T2,0.9123,0.4598,0.9339,0.551,2039,1945,2021,102400,[2],0.3106
prostate_02,18,T2,0.9229,0.4207,0.9441,0.7086,2064,1799,1813,102400,[2],0.3142
prostate_02,19,T2,0.9082,0.3816,0.9405,0.6581,1985,1843,1653,102400,[2],0.319
prostate_02,20,T2,0.8731,0.304,0.9296,0.6286,1363,1102,1056,102400,[2],0.3398
prostate_04,1,T2,0.6882,0.4605,0.9436,1.0,183,99,96,102400,[2],0.3624
prostate_04,2,T2,0.8655,0.4358,0.7821,0.2489,1421,962,1158,102400,[2],0.3601
prostate_04,3,T2,0.8871,0.2494,0.8465,0.2185,3308,2528,2937,102400,[2],0.3789
prostate_04,4,T2,0.9516,0.501,0.8618,0.2562,5505,4516,5094,102400,"[1, 2]",0.3414
prostate_04,5,T2,0.86,0.2721,0.888,0.2248,6006,5030,6001,102400,"[1, 2]",0.3288
prostate_04,6,T2,0.8788,0.3813,0.8946,0.3594,6440,6122,7269,102400,"[1, 2]",0.3067
prostate_04,7,T2,0.8907,0.3601,0.8996,0.3438,6514,6469,7630,102400,"[1, 2]",0.3266
prostate_04,8,T2,0.8855,0.2723,0.9005,0.3786,6695,6576,7963,102400,"[1, 2]",0.3227
prostate_04,9,T2,0.9045,0.4039,0.9109,0.3187,6919,6684,7956,102400,"[1, 2]",0.3607
