image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
pancreas_001,33,CT,0.3475,0.0108,0.3048,0.0,1303,1524,274,262144,"[1, 2]",0.6552
pancreas_001,34,CT,0.5833,0.3333,0.5912,0.0599,2575,2462,1080,262144,"[1, 2]",0.3579
pancreas_001,35,CT,0.6503,0.449,0.5899,0.1029,2621,3203,1340,262144,"[1, 2]",0.3602
pancreas_001,36,CT,0.5904,0.1398,0.6426,0.0332,3759,3168,1644,262144,"[1, 2]",0.3642
pancreas_001,37,CT,0.6047,0.2197,0.6051,0.033,4045,3889,1846,262144,"[1, 2]",0.3591
pancreas_001,38,CT,0.6678,0.2848,0.6341,0.0,3590,4138,1921,262144,"[1, 2]",0.3674
pancreas_001,39,CT,0.6623,0.2181,0.632,0.0,3683,4232,1955,262144,"[1, 2]",0.3612
pancreas_001,40,CT,0.6781,0.2659,0.6186,0.0,3807,4493,2048,262144,"[1, 2]",0.3638
pancreas_001,41,CT,0.6985,0.3554,0.6201,0.0,3602,4657,2093,262144,"[1, 2]",0.3634
pancreas_001,42,CT,0.6467,0.2151,0.612,0.0,4161,4788,2111,262144,"[1, 2]",0.369
pancreas_001,43,CT,0.7123,0.2229,0.5844,0.0,3600,4805,2122,262144,"[1, 2]",0.3632
pancreas_001,44,CT,0.7523,0.2061,0.5664,0.0,3436,5212,2224,262144,"[1, 2]",0.368
pancreas_001,45,CT,0.7857,0.2659,0.565,0.0356,3246,4854,2222,262144,"[1, 2]",0.3643
pancreas_001,46,CT,0.8128,0.3369,0.5632,0.0463,2986,4909,2186,262144,"[1, 2]",0.367
pancreas_001,47,CT,0.7561,0.3791,0.565,0.0325,3457,5168,2198,262144,"[1, 2]",0.3615
pancreas_001,48,CT,0.7534,0.3038,0.5521,0.0,3490,5670,2162,262144,"[1, 2]",0.3638
pancreas_001,49,CT,0.6402,0.2855,0.5486,0.0674,4504,5667,2153,262144,"[1, 2]",0.3613
