image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
hepaticvessel_001,6,CT,0.0,0.0,0.224,0.0,313,769,97,262144,[2],0.6666
hepaticvessel_001,7,CT,0.1676,0.0563,0.2266,0.0,1574,1127,144,262144,"[1, 2]",0.3535
hepaticvessel_001,8,CT,0.1038,0.0863,0.1131,0.1012,2703,2364,148,262144,"[1, 2]",0.36
hepaticvessel_001,9,CT,0.0679,0.0573,0.0771,0.0247,3103,2718,109,262144,"[1, 2]",0.3482
hepaticvessel_001,10,CT,0.0597,0.0189,0.0701,0.0478,3512,2975,108,262144,"[1, 2]",0.3615
hepaticvessel_001,11,CT,0.0226,0.0,0.0314,0.0,3324,2385,38,262144,[1],0.3509
hepaticvessel_001,12,CT,0.024,0.0,0.0288,0.0,4364,3625,53,262144,[1],0.3627
hepaticvessel_001,13,CT,0.0148,0.0,0.0175,0.0,4692,3963,35,262144,[1],0.3522
hepaticvessel_001,14,CT,0.0274,0.0,0.0316,0.0,4894,4235,68,262144,[1],0.3608
hepaticvessel_001,15,CT,0.0253,0.031,0.028,0.0123,5453,4924,75,262144,[1],0.3563
hepaticvessel_001,16,CT,0.0271,0.0287,0.0331,0.0432,6100,5224,88,262144,[1],0.3581
hepaticvessel_001,17,CT,0.0267,0.0,0.0313,0.0,6506,5536,93,262144,[1],0.3552
hepaticvessel_001,18,CT,0.0606,0.0133,0.0734,0.0,6587,5403,211,262144,[1],0.3529
hepaticvessel_001,19,CT,0.0705,0.0072,0.0579,0.0,4024,5836,174,262144,[1],0.3651
hepaticvessel_001,20,CT,0.0564,0.0617,0.0496,0.0,5787,6796,173,262144,[1],0.3537
hepaticvessel_001,21,CT,0.0689,0.1254,0.0617,0.0109,5595,9397,299,262144,[1],0.3622
hepaticvessel_001,22,CT,0.0293,0.0589,0.03,0.0182,6692,13777,210,262144,[1],0.3554
hepaticvessel_001,23,CT,0.0539,0.0507,0.0337,0.0183,6687,14310,246,262144,[1],0.3612
hepaticvessel_001,24,CT,0.057,0.0681,0.029,0.0132,4575,15682,231,262144,[1],0.3667
hepaticvessel_001,25,CT,0.0319,0.048,0.0275,0.0,6036,11817,165,262144,[1],0.3654
hepaticvessel_001,26,CT,0.0436,0.0346,0.0399,0.0,10745,12362,266,262144,[1],0.3553
hepaticvessel_001,27,CT,0.0573,0.1457,0.105,0.0,14815,16372,928,262144,[1],0.3649
hepaticvessel_001,28,CT,0.1485,0.0776,0.1214,0.0,13236,17124,1118,262144,[1],0.3602
hepaticvessel_001,29,CT,0.0652,0.0716,0.0941,0.0208,18648,18058,893,262144,[1],0.3582
hepaticvessel_001,30,CT,0.0874,0.0901,0.0937,0.0337,18683,19094,959,262144,[1],0.3576
hepaticvessel_001,31,CT,0.0716,0.0358,0.0772,0.0166,17172,18025,738,262144,[1],0.3642
hepaticvessel_001,32,CT,0.0334,0.0399,0.0411,0.0,17823,16248,341,262144,[1],0.3546
hepaticvessel_001,33,CT,0.0246,0.0211,0.0271,0.0275,19216,18104,272,262144,[1],0.3611
hepaticvessel_001,34,CT,0.0488,0.0944,0.0473,0.0,11432,16303,403,262144,[1],0.3495
hepaticvessel_001,35,CT,0.0,0.0,0.0469,0.0566,0,12712,328,262144,[1],0.3377
hepaticvessel_001,36,CT,0.0506,0.041,0.0469,0.0115,5842,10381,290,262144,[1],0.3527
hepaticvessel_001,37,CT,0.0268,0.0536,0.0271,0.0316,4457,6772,94,262144,[1],0.352
hepaticvessel_001,38,CT,0.0109,0.0,0.0154,0.0,3650,2583,20,262144,[1],0.3482
hepaticvessel_002,17,CT,0.0014,0.0,0.0034,0.0,1413,587,1,262144,[1],0.3512
hepaticvessel_002,18,CT,0.0053,0.0,0.0143,0.0,2651,975,7,262144,[1],0.351
hepaticvessel_002,19,CT,0.0232,0.0,0.0665,0.0458,2647,901,31,262144,[1],0.3549
hepaticvessel_002,20,CT,0.0302,0.0,0.1231,0.0918,2346,549,36,262144,[1],0.3487
hepaticvessel_002,21,CT,0.014,0.0,0.0361,0.0,2835,1089,20,262144,[1],0.3523
hepaticvessel_002,22,CT,0.0123,0.0,0.0395,0.0,2583,794,16,262144,[1],0.3477
hepaticvessel_002,23,CT,0.025,0.0,0.0546,0.0,6244,2817,79,262144,[1],0.3579
hepaticvessel_002,24,CT,0.0503,0.0,0.0806,0.0,6631,4071,171,262144,[1],0.3517
hepaticvessel_002,25,CT,0.0532,0.0,0.1018,0.0,5851,2982,160,262144,[1],0.3562
hepaticvessel_002,26,CT,0.0402,0.0,0.0783,0.0,6284,3164,129,262144,[1],0.3501
hepaticvessel_002,27,CT,0.0378,0.0,0.0513,0.0,7896,5779,152,262144,[1],0.3591
hepaticvessel_002,28,CT,0.032,0.0,0.0562,0.0,8190,4599,133,262144,[1],0.3498
hepaticvessel_002,29,CT,0.035,0.0,0.0444,0.0,9375,7364,167,262144,[1],0.3617
hepaticvessel_002,30,CT,0.042,0.0,0.0536,0.0,9843,7669,211,262144,[1],0.3531
hepaticvessel_002,31,CT,0.0503,0.0,0.0708,0.0,10080,7086,260,262144,[1],0.3592
hepaticvessel_002,32,CT,0.0521,0.0,0.0649,0.0,11139,8883,298,262144,[1],0.3552
hepaticvessel_002,33,CT,0.0504,0.0,0.0541,0.0566,12820,10626,388,262144,[1],0.3699
hepaticvessel_002,34,CT,0.0864,0.0,0.1161,0.0279,13928,11510,880,262144,[1],0.3622
hepaticvessel_002,35,CT,0.0704,0.0997,0.1284,0.0333,14005,9468,1140,262144,[1],0.3385
hepaticvessel_002,36,CT,0.096,0.0457,0.1242,0.0606,15665,13027,1014,262144,[1],0.3603
hepaticvessel_002,37,CT,0.1105,0.0598,0.1207,0.0328,15777,15254,1111,262144,[1],0.3608
hepaticvessel_002,38,CT,0.121,0.1017,0.1051,0.0229,14197,15116,1093,262144,[1],0.3704
hepaticvessel_002,39,CT,0.2204,0.1134,0.1415,0.0608,5069,10938,1101,262144,[1],0.3623
hepaticvessel_002,40,CT,0.1429,0.0372,0.181,0.0891,19493,14622,1508,262144,[1],0.3698
hepaticvessel_002,41,CT,0.1501,0.0448,0.1579,0.0503,17925,16416,1468,262144,[1],0.3636
hepaticvessel_002,42,CT,0.132,0.0165,0.1506,0.038,19735,16179,1396,262144,[1],0.3687
hepaticvessel_002,43,CT,0.1684,0.0459,0.1982,0.0215,16279,12395,1502,262144,[1],0.3596
hepaticvessel_002,44,CT,0.1586,0.0727,0.1898,0.063,15897,13111,1429,262144,[1],0.366
hepaticvessel_002,45,CT,0.1519,0.0886,0.1734,0.0709,18020,15593,1521,262144,[1],0.3638
hepaticvessel_002,46,CT,0.1124,0.0529,0.1256,0.0323,18269,16088,1106,262144,[1],0.3675
hepaticvessel_002,47,CT,0.1144,0.044,0.1348,0.0482,15378,13028,944,262144,[1],0.362
hepaticvessel_002,48,CT,0.1492,0.0,0.1839,0.0501,12639,10064,1019,262144,[1],0.3673
hepaticvessel_002,49,CT,0.1864,0.0,0.261,0.0305,12775,8747,1313,262144,"[1, 2]",0.3616
hepaticvessel_002,50,CT,0.2552,0.0273,0.2826,0.016,9842,8764,1450,262144,"[1, 2]",0.3646
hepaticvessel_002,51,CT,0.3536,0.0169,0.4106,0.064,8985,7310,1931,262144,"[1, 2]",0.3627
hepaticvessel_002,52,CT,0.3648,0.0,0.4684,0.0212,9861,7190,2200,262144,"[1, 2]",0.3652
hepaticvessel_002,53,CT,0.4671,0.035,0.5623,0.0,7332,5771,2271,262144,"[1, 2]",0.3627
hepaticvessel_002,54,CT,0.4763,0.0366,0.5228,0.0201,6286,5566,1970,262144,"[1, 2]",0.3818
hepaticvessel_002,55,CT,0.4634,0.0145,0.5075,0.0,5734,5085,1729,262144,"[1, 2]",0.3592
hepaticvessel_002,56,CT,0.3422,0.0,0.6166,0.0,4907,2273,1013,262144,[2],0.3637
hepaticvessel_004,11,CT,0.0132,0.0249,0.015,0.0,2406,1990,16,262144,[1],0.3659
hepaticvessel_004,12,CT,0.0024,0.0,0.0623,0.0,4087,4256,139,262144,[1],0.3546
hepaticvessel_004,13,CT,0.0174,0.0,0.0119,0.0742,3514,4383,161,262144,[1],0.3601
hepaticvessel_004,14,CT,0.0894,0.1735,0.0196,0.0849,2909,3879,200,262144,[1],0.3634
hepaticvessel_004,15,CT,0.0054,0.0429,0.0734,0.0572,4511,7847,305,262144,[1],0.3565
hepaticvessel_004,16,CT,0.0278,0.0839,0.0991,0.1208,7601,6035,383,262144,[1],0.3603
hepaticvessel_004,17,CT,0.0494,0.0849,0.0841,0.1304,7354,5554,413,262144,[1],0.3606
hepaticvessel_004,18,CT,0.0697,0.146,0.018,0.0814,8255,6731,376,262144,[1],0.3663
hepaticvessel_004,19,CT,0.0374,0.0603,0.0081,0.0317,11606,7222,425,262144,[1],0.3587
hepaticvessel_004,20,CT,0.0774,0.0424,0.0779,0.0652,11361,8189,466,262144,[1],0.366
hepaticvessel_004,21,CT,0.1528,0.0524,0.1715,0.0,19437,14418,1730,262144,"[1, 2]",0.3636
hepaticvessel_004,22,CT,0.1335,0.0714,0.222,0.0783,18961,17879,2302,262144,"[1, 2]",0.3675
hepaticvessel_004,23,CT,0.2678,0.1403,0.2856,0.0371,20329,18929,3337,262144,"[1, 2]",0.3653
hepaticvessel_004,24,CT,0.2755,0.1335,0.2978,0.1041,20388,18847,3344,262144,"[1, 2]",0.3709
hepaticvessel_004,25,CT,0.2967,0.1284,0.3081,0.0801,21036,19023,3680,262144,"[1, 2]",0.3627
hepaticvessel_004,26,CT,0.303,0.1245,0.3834,0.1321,21038,15664,3758,262144,"[1, 2]",0.3714
hepaticvessel_004,27,CT,0.2686,0.1344,0.3476,0.1539,19386,14088,3016,262144,"[1, 2]",0.3642
hepaticvessel_004,28,CT,0.3045,0.138,0.3288,0.0769,14615,15299,3034,262144,"[1, 2]",0.3651
hepaticvessel_004,29,CT,0.2873,0.0554,0.3251,0.0766,15003,12862,2526,262144,"[1, 2]",0.3629
hepaticvessel_004,30,CT,0.0824,0.0477,0.2535,0.0551,12128,12346,1847,262144,"[1, 2]",0.3688
hepaticvessel_004,31,CT,0.0582,0.1017,0.0673,0.02,11692,10704,375,262144,[1],0.3619
hepaticvessel_004,32,CT,0.0184,0.0145,0.0269,0.0214,10307,10041,142,262144,[1],0.3665
hepaticvessel_004,33,CT,0.0029,0.0,0.0064,0.0,6980,3121,10,262144,[1],0.3628
hepaticvessel_004,34,CT,0.0013,0.0,0.0041,0.0,1502,484,1,262144,[1],0.364
hepaticvessel_005,12,CT,0.3503,0.0,0.6671,0.0592,2199,933,467,262144,[2],0.3643
hepaticvessel_005,13,CT,0.5504,0.0386,0.8117,0.0247,3208,1783,1218,262144,[2],0.3645
hepaticvessel_005,14,CT,0.6178,0.26,0.8403,0.1815,4190,2585,1873,262144,[2],0.3612
hepaticvessel_005,15,CT,0.6164,0.2224,0.7559,0.136,5299,3886,2361,262144,"[1, 2]",0.3673
hepaticvessel_005,16,CT,0.6,0.1881,0.6198,0.1902,5955,6254,2858,262144,"[1, 2]",0.3597
hepaticvessel_005,17,CT,0.5739,0.125,0.6054,0.1265,6210,5957,2778,262144,"[1, 2]",0.366
hepaticvessel_005,18,CT,0.4171,0.0,0.392,0.0184,7269,7876,2210,262144,"[1, 2]",0.3599
hepaticvessel_005,19,CT,0.3125,0.0438,0.3064,0.0,8091,8224,1848,262144,"[1, 2]",0.3704
hepaticvessel_005,20,CT,0.2385,0.0764,0.3241,0.0102,8993,7561,1472,262144,"[1, 2]",0.3658
hepaticvessel_005,21,CT,0.1352,0.0871,0.1479,0.0586,8402,7975,637,262144,"[1, 2]",0.3691
hepaticvessel_005,22,CT,0.1124,0.107,0.0715,0.0911,10116,9964,686,262144,[1],0.3618
hepaticvessel_005,23,CT,0.1926,0.0884,0.2005,0.0612,10058,9628,1075,262144,[1],0.3656
hepaticvessel_005,24,CT,0.1576,0.1056,0.2113,0.1608,10191,6233,999,262144,[1],0.3645
hepaticvessel_005,25,CT,0.1541,0.2314,0.2,0.1752,8909,6595,905,262144,[1],0.3676
hepaticvessel_005,26,CT,0.1469,0.0873,0.1426,0.089,6886,6451,547,262144,[1],0.3578
hepaticvessel_005,27,CT,0.0674,0.103,0.0679,0.1606,13993,7977,570,262144,[1],0.3649
hepaticvessel_005,28,CT,0.0967,0.0991,0.1312,0.1144,13397,7174,723,262144,[1],0.3588
hepaticvessel_005,29,CT,0.0933,0.0,0.0743,0.0544,12144,8047,594,262144,[1],0.3675
hepaticvessel_005,30,CT,0.0897,0.0116,0.0763,0.0432,9494,6159,446,262144,[1],0.3608
hepaticvessel_005,31,CT,0.1004,0.0,0.1998,0.1505,8174,3893,432,262144,[1],0.3671
hepaticvessel_005,32,CT,0.052,0.0,0.0727,0.2069,6899,2924,184,262144,[1],0.3561
hepaticvessel_005,33,CT,0.0217,0.0,0.0355,0.0044,14568,8688,160,262144,[1],0.3649
hepaticvessel_005,34,CT,0.1224,0.0391,0.1539,0.0724,8434,4797,571,262144,[1],0.3602
hepaticvessel_005,35,CT,0.1138,0.0628,0.1785,0.0494,8236,5576,552,262144,[1],0.3688
hepaticvessel_005,36,CT,0.4463,0.0,0.0253,0.1988,818,636,235,262144,[1],0.3609
hepaticvessel_005,37,CT,0.3051,0.0,0.0964,0.2147,1433,738,258,262144,[1],0.3656
hepaticvessel_005,38,CT,0.2324,0.0,0.0686,0.1758,1962,762,258,262144,[1],0.3612
hepaticvessel_005,39,CT,0.2056,0.0,0.3991,0.0323,2287,1051,262,262144,[1],0.368
hepaticvessel_007,5,CT,0.0025,0.0,0.0028,0.0,804,713,1,262144,[1],0.3585
hepaticvessel_007,6,CT,0.0016,0.0,0.003,0.0,1251,674,1,262144,[1],0.3625
hepaticvessel_007,7,CT,0.0041,0.0,0.0106,0.0,1453,563,3,262144,[1],0.3592
hepaticvessel_007,8,CT,0.0186,0.0,0.0268,0.0,2232,1545,21,262144,[1],0.3629
hepaticvessel_007,9,CT,0.015,0.0,0.0259,0.0,2643,1526,20,262144,[1],0.3621
hepaticvessel_007,10,CT,0.0135,0.0,0.0194,0.0,3239,2249,22,262144,[1],0.3693
hepaticvessel_007,11,CT,0.0131,0.0,0.0257,0.0,3634,1845,24,262144,[1],0.3636
hepaticvessel_007,12,CT,0.016,0.0,0.0246,0.0,3838,2001,31,262144,[1],0.3687
hepaticvessel_007,13,CT,0.0151,0.0,0.0267,0.023,5122,2884,39,262144,[1],0.3603
hepaticvessel_007,14,CT,0.024,0.0,0.037,0.0,5594,3607,68,262144,[1],0.3662
hepaticvessel_007,15,CT,0.0159,0.0,0.0313,0.0,5984,3018,48,262144,[1],0.3589
hepaticvessel_007,16,CT,0.0264,0.0,0.03,0.0,6806,5969,91,262144,[1],0.3664
hepaticvessel_007,17,CT,0.0406,0.0,0.0448,0.0,7769,7027,161,262144,[1],0.3597
hepaticvessel_007,18,CT,0.0284,0.0,0.0316,0.0,10262,9217,148,262144,[1],0.3673
hepaticvessel_007,19,CT,0.0198,0.0,0.2101,0.0582,12761,11337,1601,262144,"[1, 2]",0.363
hepaticvessel_007,20,CT,0.0192,0.0621,0.3672,0.0459,5202,16148,3651,262144,"[1, 2]",0.3755
hepaticvessel_007,21,CT,0.7011,0.0474,0.5422,0.0272,10145,15397,5758,262144,"[1, 2]",0.365
hepaticvessel_007,22,CT,0.794,0.055,0.627,0.0817,10664,16157,7395,262144,"[1, 2]",0.3685
hepaticvessel_007,23,CT,0.8784,0.2073,0.6847,0.1847,10677,16895,8837,262144,"[1, 2]",0.3629
hepaticvessel_007,24,CT,0.9015,0.3136,0.6681,0.0937,11390,19555,9845,262144,"[1, 2]",0.3706
hepaticvessel_007,25,CT,0.8963,0.3194,0.7324,0.115,12264,18006,10638,262144,"[1, 2]",0.3664
hepaticvessel_007,26,CT,0.6638,0.1847,0.62,0.0601,22471,25310,11371,262144,"[1, 2]",0.3731
hepaticvessel_007,27,CT,0.6701,0.24,0.6241,0.0284,23184,26403,11976,262144,"[1, 2]",0.3653
hepaticvessel_007,28,CT,0.6756,0.2754,0.636,0.0653,24600,27556,12848,262144,"[1, 2]",0.3697
hepaticvessel_007,29,CT,0.6521,0.1502,0.6407,0.0697,26399,27415,12926,262144,"[1, 2]",0.3646
hepaticvessel_007,30,CT,0.6757,0.2242,0.696,0.0451,23618,23329,12519,262144,"[1, 2]",0.3727
hepaticvessel_007,31,CT,0.7194,0.1869,0.7668,0.0955,19518,18801,11816,262144,"[1, 2]",0.362
hepaticvessel_007,32,CT,0.5977,0.1712,0.7084,0.0502,26824,20822,11462,262144,"[1, 2]",0.3699
hepaticvessel_007,33,CT,0.482,0.1238,0.6424,0.0639,33998,22809,10803,262144,"[1, 2]",0.3611
hepaticvessel_007,34,CT,0.4668,0.2416,0.6589,0.1255,31199,19016,9512,262144,"[1, 2]",0.3729
hepaticvessel_007,35,CT,0.4312,0.1333,0.685,0.0667,29494,15278,8109,262144,"[1, 2]",0.3634
hepaticvessel_007,36,CT,0.3575,0.0088,0.5065,0.0444,29857,18609,6498,262144,"[1, 2]",0.3734
hepaticvessel_007,37,CT,0.3766,0.0617,0.4629,0.0701,28823,22064,6687,262144,"[1, 2]",0.3667
hepaticvessel_007,38,CT,0.3358,0.0,0.4779,0.0212,23453,14564,4733,262144,"[1, 2]",0.3701
hepaticvessel_007,39,CT,0.1848,0.0051,0.2838,0.0583,20254,11265,2062,262144,"[1, 2]",0.3635
hepaticvessel_007,40,CT,0.0095,0.0144,0.0124,0.0191,11526,8805,57,262144,[1],0.3684
hepaticvessel_007,41,CT,0.0074,0.0,0.0157,0.0,5379,2533,20,262144,[1],0.3636
hepaticvessel_007,42,CT,0.018,0.0,0.0564,0.0,2205,689,20,262144,[1],0.3582
hepaticvessel_008,10,CT,0.0087,0.0,0.0228,0.0,1371,521,6,262144,[1],0.3617
hepaticvessel_008,11,CT,0.011,0.0,0.0236,0.0,1811,837,10,262144,[1],0.3611
hepaticvessel_008,12,CT,0.0172,0.0,0.0335,0.0,2078,1057,18,262144,[1],0.3598
hepaticvessel_008,13,CT,0.0149,0.0,0.0172,0.0,2660,2304,20,262144,[1],0.365
hepaticvessel_008,14,CT,0.0152,0.0033,0.0002,0.0,6903,10065,54,262144,[1],0.3575
hepaticvessel_008,15,CT,0.0162,0.0206,0.0041,0.0,7716,9137,74,262144,[1],0.3705
hepaticvessel_008,16,CT,0.0224,0.0116,0.0082,0.0,7664,9171,92,262144,[1],0.3637
hepaticvessel_008,17,CT,0.0238,0.0288,0.0095,0.0,8693,9587,114,262144,[1],0.366
hepaticvessel_008,18,CT,0.0333,0.0282,0.0156,0.0,10102,9440,177,262144,[1],0.3627
hepaticvessel_008,19,CT,0.0239,0.0191,0.0148,0.0727,9906,12461,146,262144,[1],0.3631
hepaticvessel_008,20,CT,0.0295,0.0238,0.0101,0.0,7293,9583,167,262144,[1],0.3612
hepaticvessel_008,21,CT,0.0242,0.0257,0.0383,0.1009,12349,8532,293,262144,[1],0.3686
hepaticvessel_008,22,CT,0.0254,0.0084,0.0791,0.0595,13357,8456,442,262144,[1],0.3626
hepaticvessel_008,23,CT,0.0169,0.0394,0.0719,0.0361,11455,13971,531,262144,[1],0.3677
