image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
spleen_10,23,CT,0.0,0.0,0.4112,0.1237,898,1746,467,262144,[1],0.6536
spleen_10,24,CT,0.1254,0.2633,0.6863,0.0831,1780,2515,1314,262144,[1],0.3651
spleen_10,25,CT,0.6971,0.3894,0.6153,0.0,2825,4355,1935,262144,[1],0.3534
spleen_10,26,CT,0.7036,0.4065,0.6394,0.0,3231,5445,2559,262144,[1],0.3678
spleen_10,27,CT,0.6588,0.2737,0.6195,0.0252,7960,8769,3935,262144,[1],0.3593
spleen_10,28,CT,0.7139,0.3157,0.6103,0.1656,8148,9538,4548,262144,[1],0.3685
spleen_10,29,CT,0.7514,0.3861,0.6141,0.0,8018,10906,4833,262144,[1],0.361
spleen_10,30,CT,0.7297,0.125,0.6232,0.0676,8779,11064,5043,262144,[1],0.3659
spleen_10,31,CT,0.7101,0.1608,0.7242,0.0246,8985,8718,4949,262144,[1],0.3602
spleen_10,32,CT,0.7248,0.1877,0.8157,0.0125,7977,6587,4537,262144,[1],0.3604
spleen_10,33,CT,0.6741,0.1294,0.8259,0.1267,8314,6009,4227,262144,[1],0.3606
spleen_10,34,CT,0.5833,0.2078,0.6292,0.0704,8705,8241,3783,262144,[1],0.3631
spleen_10,35,CT,0.6719,0.1661,0.7835,0.2162,6513,5135,3307,262144,[1],0.3578
spleen_10,36,CT,0.595,0.1968,0.8331,0.2311,6731,4028,2876,262144,[1],0.3567
spleen_10,37,CT,0.6574,0.0549,0.8631,0.2222,4853,3130,2376,262144,[1],0.3566
spleen_10,38,CT,0.6066,0.0308,0.7064,0.0,3889,3100,1693,262144,[1],0.3615
spleen_10,39,CT,0.3448,0.0,0.6612,0.0,3308,1395,689,262144,[1],0.3511
spleen_12,62,CT,0.3091,0.1279,0.3063,0.0,1258,1272,230,262144,[1],0.3606
spleen_12,63,CT,0.4966,0.1954,0.5607,0.0,1748,1540,600,262144,[1],0.3678
spleen_12,64,CT,0.0107,0.0216,0.5673,0.031,751,2341,927,262144,[1],0.3625
spleen_12,65,CT,0.6493,0.3959,0.5797,0.0,1645,2928,1195,262144,[1],0.354
spleen_12,66,CT,0.6701,0.2739,0.6526,0.0053,2830,2944,1426,262144,[1],0.3579
spleen_12,67,CT,0.7103,0.2911,0.6402,0.0298,2992,3500,1648,262144,[1],0.3558
spleen_12,68,CT,0.8612,0.4681,0.7072,0.0096,2425,3353,1834,262144,[1],0.3587
spleen_12,69,CT,0.8589,0.4187,0.7441,0.0,2672,3394,2011,262144,[1],0.3547
spleen_12,70,CT,0.8821,0.4386,0.7898,0.0263,2807,3394,2215,262144,[1],0.3574
spleen_12,71,CT,0.8976,0.3992,0.7907,0.0335,2983,3715,2429,262144,[1],0.3465
spleen_12,72,CT,0.8937,0.4442,0.8075,0.0432,3295,3931,2662,262144,[1],0.3548
spleen_12,73,CT,0.8912,0.4407,0.8111,0.043,3598,4239,2892,262144,[1],0.3538
spleen_12,74,CT,0.8644,0.3642,0.823,0.2185,4145,4512,3155,262144,[1],0.3573
spleen_12,75,CT,0.7734,0.2234,0.8384,0.2326,5440,4752,3430,262144,[1],0.3519
spleen_12,76,CT,0.8141,0.2056,0.8537,0.0933,5396,4974,3704,262144,[1],0.3607
spleen_12,77,CT,0.7879,0.1658,0.8532,0.078,6140,5364,3991,262144,[1],0.3536
spleen_12,78,CT,0.7784,0.2078,0.8634,0.0936,6743,5671,4308,262144,[1],0.3507
spleen_12,79,CT,0.8062,0.2223,0.8721,0.0988,6839,5974,4619,262144,[1],0.3447
spleen_12,80,CT,0.8361,0.3098,0.8831,0.1225,6882,6259,4949,262144,[1],0.3515
spleen_12,81,CT,0.835,0.262,0.8239,0.0693,7432,7622,5339,262144,[1],0.3602
spleen_12,82,CT,0.8443,0.2956,0.8098,0.2022,7832,8461,5762,262144,[1],0.3524
spleen_12,83,CT,0.8248,0.2618,0.7691,0.0829,8619,9754,6094,262144,[1],0.359
spleen_12,84,CT,0.7958,0.2373,0.7418,0.0863,9633,10900,6427,262144,[1],0.3593
spleen_12,85,CT,0.85,0.3167,0.7422,0.0278,9105,11477,6773,262144,[1],0.3607
spleen_12,86,CT,0.8476,0.3341,0.769,0.0511,9546,11391,7116,262144,[1],0.3577
spleen_12,87,CT,0.8281,0.2719,0.7555,0.051,10472,12342,7492,262144,[1],0.36
spleen_12,88,CT,0.8645,0.3308,0.7108,0.042,10253,14349,7911,262144,[1],0.354
spleen_12,89,CT,0.7853,0.2535,0.6867,0.0378,12748,16013,8373,262144,[1],0.3612
spleen_12,90,CT,0.8238,0.2575,0.7117,0.0631,12539,16003,8840,262144,[1],0.3561
spleen_12,91,CT,0.8741,0.3491,0.6998,0.0657,11855,17187,9254,262144,[1],0.3612
spleen_12,92,CT,0.8888,0.3481,0.7183,0.0706,11928,17116,9626,262144,[1],0.3563
spleen_12,93,CT,0.8781,0.3721,0.7038,0.0737,12520,18292,9973,262144,[1],0.3602
spleen_12,94,CT,0.884,0.4187,0.6543,0.0911,12750,21076,10271,262144,[1],0.354
spleen_12,95,CT,0.875,0.3064,0.6557,0.0766,13311,21564,10529,262144,[1],0.3605
spleen_12,96,CT,0.8287,0.2409,0.6684,0.0324,15006,21238,10722,262144,[1],0.3532
spleen_12,97,CT,0.8975,0.3827,0.6783,0.0377,13160,21153,10897,262144,[1],0.3595
spleen_12,98,CT,0.901,0.3559,0.6875,0.028,13287,20935,11033,262144,[1],0.355
spleen_12,99,CT,0.7985,0.1928,0.7079,0.0642,16734,20371,11183,262144,[1],0.3575
spleen_12,100,CT,0.8161,0.2111,0.7422,0.0,16316,19189,11324,262144,[1],0.3641
spleen_12,101,CT,0.829,0.1925,0.768,0.0063,16118,18371,11451,262144,[1],0.3583
spleen_12,102,CT,0.8471,0.2203,0.7783,0.0101,15648,18137,11554,262144,[1],0.3571
spleen_12,103,CT,0.8203,0.1954,0.7477,0.0,16618,19501,11643,262144,[1],0.3574
spleen_12,104,CT,0.8479,0.2827,0.7271,0.0036,15799,20465,11689,262144,[1],0.364
spleen_12,105,CT,0.811,0.1995,0.7402,0.0055,17116,19958,11726,262144,[1],0.3542
spleen_12,106,CT,0.8198,0.2153,0.7302,0.0248,16799,20395,11731,262144,[1],0.3611
spleen_12,107,CT,0.802,0.2088,0.7012,0.0875,17419,21675,11707,262144,[1],0.3544
spleen_12,108,CT,0.8025,0.1914,0.7036,0.0111,17323,21456,11645,262144,[1],0.3652
spleen_12,109,CT,0.771,0.206,0.7286,0.0115,18356,20132,11537,262144,[1],0.3576
spleen_12,110,CT,0.7671,0.2133,0.7444,0.0296,18289,19256,11419,262144,[1],0.3579
spleen_12,111,CT,0.7592,0.1869,0.6746,0.0303,18398,21982,11263,262144,[1],0.3554
spleen_12,112,CT,0.7994,0.2106,0.6691,0.0365,16556,21739,11046,262144,[1],0.3578
spleen_12,113,CT,0.7934,0.1753,0.6727,0.0684,16382,21010,10822,262144,[1],0.3619
spleen_12,114,CT,0.7305,0.1107,0.6603,0.0548,18291,20975,10535,262144,[1],0.3585
spleen_12,115,CT,0.7233,0.1985,0.6476,0.0426,18115,21395,10286,262144,[1],0.3549
spleen_12,116,CT,0.7392,0.186,0.6625,0.0659,17000,20080,9974,262144,[1],0.367
spleen_12,117,CT,0.7915,0.2783,0.6673,0.0957,14691,19359,9694,262144,[1],0.3535
spleen_12,118,CT,0.7797,0.201,0.657,0.1173,14474,19045,9344,262144,[1],0.3582
spleen_12,119,CT,0.5946,0.2591,0.6576,0.0849,8592,18275,8954,262144,[1],0.3533
spleen_12,120,CT,0.0199,0.2434,0.6486,0.1207,2823,17800,8555,262144,[1],0.3528
spleen_12,121,CT,0.2356,0.2026,0.6418,0.071,4384,17207,8211,262144,[1],0.351
spleen_12,122,CT,0.0038,0.1292,0.6872,0.0483,2556,14979,7869,262144,[1],0.3478
spleen_12,123,CT,0.0,0.0,0.7405,0.0,2114,12810,7531,262144,[1],0.3655
spleen_12,124,CT,0.0,0.0,0.6421,0.0505,1915,15207,7190,262144,[1],0.357
spleen_12,125,CT,0.0,0.0,0.6226,0.0185,2034,15128,6838,262144,[1],0.3565
spleen_12,126,CT,0.0,0.0,0.6334,0.0361,2216,13990,6484,262144,[1],0.3514
spleen_12,127,CT,0.0,0.003,0.6841,0.0632,2323,11688,6106,262144,[1],0.3573
spleen_12,128,CT,0.0,0.0062,0.6747,0.0404,2546,11035,5618,262144,[1],0.352
spleen_12,129,CT,0.0,0.0,0.6839,0.0567,2835,10102,5252,262144,[1],0.3605
spleen_12,130,CT,0.0,0.0029,0.72,0.0664,3276,8754,4926,262144,[1],0.3527
spleen_12,131,CT,0.0,0.0088,0.7848,0.186,3686,7107,4601,262144,[1],0.3618
spleen_12,132,CT,0.0,0.0,0.6073,0.077,4143,9499,4296,262144,[1],0.355
spleen_12,133,CT,0.0,0.0,0.6148,0.0358,4384,8971,4018,262144,[1],0.3617
spleen_12,134,CT,0.0,0.0,0.6057,0.0368,4510,8538,3743,262144,[1],0.3562
spleen_12,135,CT,0.7663,0.2432,0.6004,0.0398,5575,8030,3479,262144,[1],0.3589
spleen_12,136,CT,0.5849,0.0183,0.6075,0.0481,7730,7284,3195,262144,[1],0.3538
spleen_12,137,CT,0.5533,0.0,0.5731,0.0448,7463,7095,2854,262144,[1],0.3609
spleen_12,138,CT,0.5061,0.0,0.4,0.1542,6883,5078,2332,262144,[1],0.3533
spleen_12,139,CT,0.3967,0.0,0.5408,0.1832,6397,3587,1583,262144,[1],0.3563
spleen_12,140,CT,0.3713,0.0,0.7043,0.0725,5009,2101,1142,262144,[1],0.3541
spleen_12,141,CT,0.2901,0.0,0.1502,0.0827,3997,1519,678,262144,[1],0.357
spleen_13,26,CT,0.0923,0.1365,0.1829,0.0314,950,3050,307,262144,[1],0.3851
spleen_13,27,CT,0.6108,0.4087,0.4733,0.0348,3339,4968,1540,262144,[1],0.3574
spleen_13,28,CT,0.8868,0.5985,0.6346,0.0246,2865,5073,2358,262144,[1],0.3642
spleen_13,29,CT,0.9366,0.6546,0.7247,0.0327,3369,5232,2973,262144,[1],0.3536
spleen_13,30,CT,0.9459,0.7109,0.7531,0.0976,3797,5651,3413,262144,[1],0.3599
spleen_13,31,CT,0.9543,0.7509,0.7598,0.171,4110,6126,3753,262144,[1],0.3575
spleen_13,32,CT,0.9544,0.7722,0.8166,0.0307,4350,5762,3976,262144,[1],0.3595
spleen_13,33,CT,0.9491,0.7214,0.8339,0.0542,4539,5743,4107,262144,[1],0.3572
spleen_13,34,CT,0.959,0.799,0.7911,0.0377,4514,6455,4224,262144,[1],0.3578
spleen_13,35,CT,0.9605,0.7628,0.7466,0.0,4608,7274,4333,262144,[1],0.3652
spleen_13,36,CT,0.9562,0.746,0.75,0.0,4752,7384,4430,262144,[1],0.3602
spleen_13,37,CT,0.9108,0.6465,0.7463,0.0123,5330,7608,4529,262144,[1],0.3616
spleen_13,38,CT,0.8061,0.4518,0.798,0.214,6820,6979,4633,262144,[1],0.3622
spleen_13,39,CT,0.8712,0.5007,0.8437,0.2782,6155,6518,4759,262144,[1],0.3641
spleen_13,40,CT,0.8436,0.5299,0.8236,0.2222,6850,7187,5032,262144,[1],0.356
