image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
colon_001,51,CT,0.0,0.0796,0.515,0.129,1404,2324,841,262144,[1],0.7873
colon_001,52,CT,0.0,0.0079,0.7771,0.4079,1262,960,646,262144,[1],0.4226
colon_001,53,CT,0.0,0.0178,0.4844,0.1033,1105,765,296,262144,[1],0.4393
colon_005,44,CT,0.2405,0.0,0.5549,0.0696,2034,724,278,262144,[1],0.3991
colon_005,50,CT,0.2257,0.0,0.4039,0.0,2123,1067,270,262144,[1],0.3848
colon_005,51,CT,0.4298,0.0,0.4849,0.0,2963,2534,811,262144,[1],0.3966
colon_005,52,CT,0.5554,0.0,0.6809,0.1432,4435,3303,1705,262144,[1],0.4139
colon_005,53,CT,0.7998,0.3003,0.7553,0.1575,3186,3516,2143,262144,[1],0.4004
colon_005,54,CT,0.5107,0.0,0.6422,0.0225,5349,3878,1834,262144,[1],0.4109
colon_005,55,CT,0.5763,0.0,0.7174,0.0,5806,4201,2350,262144,[1],0.4095
colon_005,56,CT,0.5452,0.0192,0.6639,0.0867,4874,3667,1828,262144,[1],0.406
colon_005,57,CT,0.0008,0.1528,0.5088,0.1534,967,2324,1430,262144,[1],0.4061
colon_005,58,CT,0.0008,0.23,0.5273,0.2283,1172,3478,1335,262144,[1],0.4359
colon_005,59,CT,0.0,0.123,0.4059,0.082,1291,2212,774,262144,[1],0.4107
colon_005,60,CT,0.0,0.0348,0.6049,0.305,1494,852,454,262144,[1],0.4006
colon_006,12,CT,0.0095,0.0,0.0357,0.0,630,165,3,262144,[1],0.4066
colon_006,41,CT,0.0,0.0455,0.0109,0.0889,431,182,1,262144,[1],0.3916
colon_006,42,CT,0.5541,0.1304,0.6958,0.1603,2179,1565,835,262144,[1],0.3942
colon_006,43,CT,0.3561,0.0,0.573,0.2216,1639,884,355,262144,[1],0.4186
colon_007,38,CT,0.6302,0.3349,0.7352,0.4574,1072,834,499,262144,[1],0.4045
